number,PL
1,0.0431799
2,0.0418124
3,0.043874
4,0.0424256
5,0.0418169
6,0.0420648
7,0.0407908
8,0.0409307
9,0.0453083
10,0.0417147
11,0.0437169
12,0.044594
13,0.0422234
14,0.0422468
15,0.0395316
16,0.0400588
17,0.0422669
18,0.0426264
19,0.0452403
20,0.0394227
21,0.04191
22,0.0425589
23,0.0417474
24,0.0462538
25,0.0430001
26,0.0416571
27,0.0428362
28,0.0418688
29,0.0443704
30,0.0430539
31,0.0429372
32,0.043979
33,0.0392813
34,0.0438795
35,0.0401162
36,0.0459685
37,0.0432599
38,0.0434765
39,0.0413041
40,0.0430476
41,0.0413409
42,0.0435492
43,0.0418083
44,0.0417944
45,0.0435293
46,0.0410537
47,0.0404163
48,0.0455596
49,0.042695
50,0.0460395
51,0.0445926
52,0.0427875
53,0.0416651
54,0.0426608
55,0.0417029
56,0.0413406
57,0.0437407
58,0.0442998
59,0.0417764
60,0.0449625
61,0.0460142
62,0.0421347
63,0.0392082
64,0.0415977
65,0.0421595
66,0.0444548
67,0.0436669
68,0.0407603
69,0.041503
70,0.04243
71,0.0435472
72,0.0412967
73,0.0448063
74,0.045176
75,0.043777
76,0.0442497
77,0.0402231
78,0.0431386
79,0.0395089
80,0.0440109
81,0.0417673
82,0.0435465
83,0.0428505
84,0.041281
85,0.044139
86,0.0441715
87,0.043769
88,0.039679
89,0.0409571
90,0.0443087
91,0.0444267
92,0.0454945
93,0.0454079
94,0.042432
95,0.0451476
96,0.0427888
97,0.04359
98,0.0402316
99,0.0409056
100,0.0425268
